,fiscal_period,region_product,sales_vol,year,month,apac,emea,la,na,fchem,fpoly,fchem_product,fpoly_product,pfa,region_code,region,value_to_USD,demand,oil_price,GDP,smi_avg,smi_std
18,2016P12,sales_vol_fchem_apac,3793386.57,2016,12,1,0,0,0,1,0,3793386.57,0,0,"[1,0,0]",apac,116.073137,67.28,37.92,22512,898.4171429,26.46507683
19,2017P01,sales_vol_fchem_apac,4820459.67,2017,1,1,0,0,0,1,0,4820459.67,0,0,"[1,0,0]",apac,115.093355,74.28,38.78,23996,926.8525,17.33122217
20,2017P02,sales_vol_fchem_apac,4255706.5,2017,2,1,0,0,0,1,0,4255706.5,0,0,"[1,0,0]",apac,112.865464,74.28,38.74,23996,969.7510526,8.79664197
21,2017P03,sales_vol_fchem_apac,6753246.51,2017,3,1,0,0,0,1,0,6753246.51,0,0,"[1,0,0]",apac,112.988573,74.28,36.38,23996,994.59,13.21563021
22,2017P04,sales_vol_fchem_apac,5964194.17,2017,4,1,0,0,0,1,0,5964194.17,0,0,"[1,0,0]",apac,110.149052,74.28,36.33,23996,993.9810526,16.5475869
23,2017P05,sales_vol_fchem_apac,7867739.75,2017,5,1,0,0,0,1,0,7867739.75,0,0,"[1,0,0]",apac,112.234879,74.28,35.68,23996,1045.631818,30.29117232
24,2017P06,sales_vol_fchem_apac,8362482.83,2017,6,1,0,0,0,1,0,8362482.83,0,0,"[1,0,0]",apac,110.8545,74.28,32.41,23996,1085.085455,22.42223168
25,2017P07,sales_vol_fchem_apac,6306686.25,2017,7,1,0,0,0,1,0,6306686.25,0,0,"[1,0,0]",apac,112.338871,74.28,33.64,23996,1085.188,27.49278003
26,2017P08,sales_vol_fchem_apac,6100402.03,2017,8,1,0,0,0,1,0,6100402.03,0,0,"[1,0,0]",apac,109.796917,74.28,34.72,23996,1084.535652,11.06822965
27,2017P09,sales_vol_fchem_apac,6237333.26,2017,9,1,0,0,0,1,0,6237333.26,0,0,"[1,0,0]",apac,110.6931,74.28,37.35,23996,1132.5295,21.25684323
28,2017P10,sales_vol_fchem_apac,5595967.95,2017,10,1,0,0,0,1,0,5595967.95,0,0,"[1,0,0]",apac,112.931667,74.28,39.5,23996,1218.889545,26.75827838
29,2017P11,sales_vol_fchem_apac,5302296.13,2017,11,1,0,0,0,1,0,5302296.13,0,0,"[1,0,0]",apac,112.798983,74.28,43.25,23996,1306.377143,19.55504568
30,2017P12,sales_vol_fchem_apac,4884854.07,2017,12,1,0,0,0,1,0,4884854.07,0,0,"[1,0,0]",apac,112.897742,74.28,43.77,23996,1253.1165,17.4883213
31,2018P01,sales_vol_fchem_apac,5216316.37,2018,1,1,0,0,0,1,0,5216316.37,0,0,"[1,0,0]",apac,110.932,NA,46.13,25153.18537,1341.990952,31.01460203
32,2018P02,sales_vol_fchem_apac,4341497.27,2018,2,1,0,0,0,1,0,4341497.27,0,0,"[1,0,0]",apac,107.93567,NA,42.64,25153.18537,1313.362105,42.20020716
33,2018P03,sales_vol_fchem_apac,5241134.37,2018,3,1,0,0,0,1,0,5241134.37,0,0,"[1,0,0]",apac,106.030217,NA,41.85,25153.18537,1386.329048,38.55819938
34,2018P04,sales_vol_fchem_apac,4354983.39,2018,4,1,0,0,0,1,0,4354983.39,0,0,"[1,0,0]",apac,107.59585,NA,46.3,25153.18537,1295.71,32.18752165
35,2018P05,sales_vol_fchem_apac,5726562.89,2018,5,1,0,0,0,1,0,5726562.89,0,0,"[1,0,0]",apac,109.664452,NA,51.45,25153.18537,1341.472273,43.70693036
36,2018P06,sales_vol_fchem_apac,4787121.67,2018,6,1,0,0,0,1,0,4787121.67,0,0,"[1,0,0]",apac,110.0477,NA,50.95,25153.18537,1389.081429,40.77615802
37,2018P07,sales_vol_fchem_apac,5969677.54,2018,7,1,0,0,0,1,0,5969677.54,0,0,"[1,0,0]",apac,111.431677,NA,51.29,25153.18537,1350.285714,19.18595517
38,2018P08,sales_vol_fchem_apac,7221725.85,2018,8,1,0,0,0,1,0,7221725.85,0,0,"[1,0,0]",apac,111.006984,NA,50.74,25153.18537,1368.663043,26.8979466
39,2018P09,sales_vol_fchem_apac,4591177.15,2018,9,1,0,0,0,1,0,4591177.15,0,0,"[1,0,0]",apac,112.0468,NA,54.49,25153.18537,1372.318421,15.86917776
40,2018P10,sales_vol_fchem_apac,5324822.28,2018,10,1,0,0,0,1,0,5324822.28,0,0,"[1,0,0]",apac,112.710935,NA,56.4,25153.18537,1257.227391,71.11823729
41,2018P11,sales_vol_fchem_apac,6365326.65,2018,11,1,0,0,0,1,0,6365326.65,0,0,"[1,0,0]",apac,113.2999,NA,46.7,25153.18537,1212.818095,24.73091964
42,2018P12,sales_vol_fchem_apac,6336002.43,2018,12,1,0,0,0,1,0,6336002.43,0,0,"[1,0,0]",apac,112.116258,NA,40.48,25153.18537,1167.347895,45.98361249
